score,opportunity,page,query,clicks,impressions,ctr,position,local_article
68.2,rising_visibility,https://footballtraininglab.com/posts/football-training-drills.html,football training,0.0,31.0,0.0,38.52,True
48.75,quick_win,https://footballtraininglab.com/posts/best-football-boots-for-wet-conditions,best football boots for wet and muddy conditions,0.0,15.0,0.0,9.87,True
46.2,quick_win,https://footballtraininglab.com/posts/football-boots-for-ankle-support,football boots with ankle support,0.0,21.0,0.0,23.52,True
26.4,quick_win,https://footballtraininglab.com/posts/best-football-water-bottle,football water bottles,0.0,12.0,0.0,28.0,True
25.875,rising_visibility,https://footballtraininglab.com/posts/football-boots-for-ankle-support,ankle football boots,0.0,9.0,0.0,17.67,True
22.0,quick_win,https://footballtraininglab.com/posts/best-speed-exercises-for-football-players,speed drills for football,0.0,10.0,0.0,27.7,True
17.6,rising_visibility,https://footballtraininglab.com/posts/football-boots-for-ankle-support,ankle support football boots,0.0,8.0,0.0,26.38,True
17.6,rising_visibility,https://footballtraininglab.com/posts/football-boots-for-ankle-support,football boots ankle support,0.0,8.0,0.0,30.62,True
13.2,rising_visibility,https://footballtraininglab.com/posts/best-football-boots,best football boots,0.0,6.0,0.0,22.83,True
13.2,rising_visibility,https://footballtraininglab.com/posts/best-speed-exercises-for-football-players,speed training for football,0.0,6.0,0.0,35.5,True
13.2,rising_visibility,https://footballtraininglab.com/posts/football-conditioning-workout.html,football training,0.0,6.0,0.0,30.83,True
11.0,rising_visibility,https://footballtraininglab.com/posts/football-training-drills.html,training football,0.0,5.0,0.0,38.2,True
8.25,rising_visibility,https://footballtraininglab.com/posts/best-football-boots-for-defenders,football boots for defenders,0.0,6.0,0.0,48.5,True
